,Timestamp,Embedded_text,Comments,Likes,Retweets,date,heure
1159,2020-11-24T14:14:17.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Lutter contre l’immigration clandestine, tout le monde en parle mais personne ne le fait » #FAI
54
331
1.8K",54.0,331.0,1800.0,2020-11-24 14:14:17,1900-01-01 14:14:17
1160,2020-11-24T06:44:20.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Qu’on ne nous dise plus de respecter les critères de Maastricht : plus personne ne les respecte ! » #FAI
17
229
1.1K",17.0,229.0,1100.0,2020-11-24 06:44:20,1900-01-01 06:44:20
1161,2020-11-25T19:33:32.000Z,"Eric #Zemmour sur 
@CNEWS
 #Brexit : « Vous trouvez normal que la Grande-Bretagne, la mère de la démocratie, soit gouvernée par des juges européens qui ne sont pas élus ? » #FAI
54
356
1.6K",54.0,356.0,1600.0,2020-11-25 19:33:32,1900-01-01 19:33:32
1162,2020-11-25T15:22:12.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Santé Publique France nous apprend que 21% des Français présentent un état dépressif. C’est le double du niveau habituel ! » #FAI
52
209
902",52.0,209.0,902.0,2020-11-25 15:22:12,1900-01-01 15:22:12
1163,2020-11-25T15:21:25.000Z,"Z comme #Zemmour
41
96
662",41.0,96.0,662.0,2020-11-25 15:21:25,1900-01-01 15:21:25
1164,2020-11-25T14:44:03.000Z,"Eric #Zemmour sur 
@CNEWS
 #crisesanitaire : « L’économie est fondamentale pour la santé. L’effondrement de l’économie va avoir des conséquences dramatiques sur la santé » #FAI
26
185
838",26.0,185.0,838.0,2020-11-25 14:44:03,1900-01-01 14:44:03
1165,2020-11-25T13:40:20.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « Les policiers sont les véritables défenseurs de la République face à cette bande de Tartuffe qui n’ont que le mot République à la bouche » #FAI
30
315
1.5K",30.0,315.0,1500.0,2020-11-25 13:40:20,1900-01-01 13:40:20
1166,2020-11-25T10:04:48.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « Il ne peut pas y avoir d’expulsion de ces gens sans violence puisqu’ils résistent. J’assume la brutalité. Ces gens ne devraient pas être là » #FAI
178
670
3K",178.0,670.0,3000.0,2020-11-25 10:04:48,1900-01-01 10:04:48
1167,2020-11-25T07:57:11.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « L’idéologie des organisations sans-frontiéristes, c’est le droit de l’humanité toute entière à venir en Europe. Ces gens sont subventionnés par nos impôts pour empêcher d’appliquer les lois de la République » #FAI
39
300
1.2K",39.0,300.0,1200.0,2020-11-25 07:57:11,1900-01-01 07:57:11
1168,2020-11-25T06:50:35.000Z,"Eric #Zemmour sur 
@CNEWS
 #Migrants #République : « Il y a une sémantique extraordinaire. Dans les années 90, on disait les « sans-papiers ». A partir de 1995 on a parlé des « migrants ». Maintenant on les appelle des « exilés ». C’est pas beau ça ? C’est du pathos à deux balles»
98
620
2.6K",98.0,620.0,2600.0,2020-11-25 06:50:35,1900-01-01 06:50:35
1169,2020-11-26T22:47:27.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Pourquoi remplacer le nucléaire alors qu’il a fait ses preuves depuis quarante ans et qu’il s’agit d’une technologie française ? » #FAI
195
601
2.9K",195.0,601.0,2900.0,2020-11-26 22:47:27,1900-01-01 22:47:27
1170,2020-11-26T22:24:35.000Z,"Eric #Zemmour sur 
@CNEWS
 : « On veut nous faire croire que les anti-éoliens sont des énergumènes dépassés par le progrès, des complotistes. C’est complètement injuste » #FAI
41
187
927",41.0,187.0,927.0,2020-11-26 22:24:35,1900-01-01 22:24:35
1171,2020-11-26T19:30:13.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Au début de l’année, 
@EmmanuelMacron
 dit qu’il a compris l’hostilité des Français à l’éolien. Elisabeth Borne parlait de « développement anarchique » et de « saturation visuelle ». A la fin de l’année, c’est terminé. On veut de l’éolien partout » #FAI
58
352
1.1K",58.0,352.0,1100.0,2020-11-26 19:30:13,1900-01-01 19:30:13
1172,2020-11-27T16:21:00.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Les partis politiques, comme les civilisations, sont mortels. Et je crois que le 
@partisocialiste
 est dans la dernière ligne droite » #FAI
92
190
1.2K",92.0,190.0,1200.0,2020-11-27 16:21:00,1900-01-01 16:21:00
1173,2020-11-27T15:13:42.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Il y a ceux qui craignent le grand remplacement. Il y a ceux qui craignent le grand réchauffement. Il y a ceux qui craignent le grand déclassement. Cela ne correspond plus aux anciens partis politiques qui sont condamnés à mort » #FAI
46
231
1.1K",46.0,231.0,1100.0,2020-11-27 15:13:42,1900-01-01 15:13:42
1174,2020-11-27T10:15:56.000Z,"Eric #Zemmour sur 
@CNEWS
 à propos du revenu universel : « On donnerait de l’argent à des gens qui ne font rien et qui ne cherchent pas de travail ? Tout travail mérite salaire et toute absence de travail ne mérite pas salaire » #FAI
574
1.1K
4.8K",574.0,1100.0,4800.0,2020-11-27 10:15:56,1900-01-01 10:15:56
1175,2020-11-29T16:15:14.000Z,"Éric #Zemmour dans 
@Le_Figaro
: «Le confinement, révélateur d’une fracture profonde chez les catholiques français»
lefigaro.fr
Éric Zemmour: «Le confinement, révélateur d’une fracture profonde chez les catholiques français»
CHRONIQUE - Alors que l’Église a recentré le message évangélique sur le social et l’humanitaire, des croyants redécouvrent la valeur des rites et de la messe comme source de la vie chrétienne.
20
62
370",20.0,62.0,370.0,2020-11-29 16:15:14,1900-01-01 16:15:14
1176,2020-11-30T21:29:52.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Je vois mal des policiers se réveillant un matin et se disant : « Tiens, je vais briser ma carrière ce soir ». De surcroît en tapant sur un Noir » #FAI
228
616
3.3K",228.0,616.0,3300.0,2020-11-30 21:29:52,1900-01-01 21:29:52
1177,2020-11-30T20:48:16.000Z,"Eric #Zemmour sur 
@CNEWS
 : « On veut effacer l’émotion suscitée par le meurtre de Samuel Patty parce qu’elle a eu des conséquences : on s’est posé des questions sur l’immigration, sur l’islam, sur la sécurité. La gauche et l’extrême gauche veulent les effacer » #FAI
102
710
2.6K",102.0,710.0,2600.0,2020-11-30 20:48:16,1900-01-01 20:48:16
1178,2020-11-30T19:44:41.000Z,"Eric #Zemmour sur 
@CNEWS
 : « On a vu comment depuis 15 jours comment la gauche et l’extrême-gauche maîtrisent l’agenda médiatique en mettant en avant des événements qui mettent en valeur leurs idéologies » #fai
91
536
2.3K",91.0,536.0,2300.0,2020-11-30 19:44:41,1900-01-01 19:44:41
1179,2020-12-01T19:30:26.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Le risque pour la démocratie américaine, ce n'est pas Trump, c’est la fraude. Et je pense que les démocrates ont fraudé de façon massive et inédite » #FAI
237
721
2.7K",237.0,721.0,2700.0,2020-12-01 19:30:26,1900-01-01 19:30:26
1180,2020-12-01T09:18:58.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Les discours de 
@JLMelenchon
 et de 
@Pontifex_fr
 sont très ressemblants » #FAI
22
72
414",22.0,72.0,414.0,2020-12-01 09:18:58,1900-01-01 09:18:58
1181,2020-12-01T08:36:24.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Les catholiques les plus pratiquants ont eu un sentiment de mépris de la part des pouvoirs publics. On a un gouvernement qui ne comprend plus rien à l’essence même du catholicisme qui est la messe » #FAI
82
284
1.3K",82.0,284.0,1300.0,2020-12-01 08:36:24,1900-01-01 08:36:24
1182,2020-12-01T07:21:47.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Il ne faut pas s’arrêter à cet événement. Il faut s’intéresser à la mise en scène de cet événement. Et il faut comprendre l’objectif de cette mise en scène : décrédibiliser l’Etat et la police » #FAI
98
467
1.9K",98.0,467.0,1900.0,2020-12-01 07:21:47,1900-01-01 07:21:47
1183,2020-12-02T22:22:34.000Z,"Eric #Zemmour sur 
@CNEWS
 : « Il y a un continuum de la petite délinquance au terrorisme islamiste. C’est ce que j’appelle le djihad pour tous. Le djihad des pauvres et le djihad sophistiqués » #FAI
33
155
802",33.0,155.0,802.0,2020-12-02 22:22:34,1900-01-01 22:22:34
